row,studyID,authors,year,title,journal,species,n,female,dropout,age,site,attempt_replication,successful_replication,species_comparison,notes
17,113,"Bohn, Call, Tomasello",2015,Communication about absent entities in great apes and human infants,Cognition,Sumatran orangutan,6,4,0,mixed,Wolfgang Köhler Primate Research Center,no,NA,no,NA
18,113,"Bohn, Call, Tomasello",2015,Communication about absent entities in great apes and human infants,Cognition,Western gorilla,4,3,0,mixed,Wolfgang Köhler Primate Research Center,no,NA,no,NA
19,113,"Bohn, Call, Tomasello",2015,Communication about absent entities in great apes and human infants,Cognition,bonobo,7,5,1,mixed,Wolfgang Köhler Primate Research Center,no,NA,no,NA
20,113,"Bohn, Call, Tomasello",2015,Communication about absent entities in great apes and human infants,Cognition,chimpanzee,19,13,2,mixed,Wolfgang Köhler Primate Research Center,no,NA,no,NA
21,280,"Bohn, Allritz, Call, Völter",2017,Information seeking about tool properties in great apes,Scientific Reports,Sumatran orangutan,7,5,NA,adult,Wolfgang Köhler Primate Research Center,no,NA,no,NA
22,280,"Bohn, Allritz, Call, Völter",2017,Information seeking about tool properties in great apes,Scientific Reports,chimpanzee,7,3,NA,adult,Wolfgang Köhler Primate Research Center,no,NA,no,NA
23,499,"Bohn, Call, Tomasello",2016,The role of past interactions in great apes' communication about absent entities,Journal of Comparative Psychology,Sumatran orangutan,6,4,0,mixed,Wolfgang Köhler Primate Research Center,no,NA,no,NA
24,499,"Bohn, Call, Tomasello",2016,The role of past interactions in great apes' communication about absent entities,Journal of Comparative Psychology,Western gorilla,4,3,0,mixed,Wolfgang Köhler Primate Research Center,no,NA,no,NA
25,499,"Bohn, Call, Tomasello",2016,The role of past interactions in great apes' communication about absent entities,Journal of Comparative Psychology,bonobo,7,5,0,mixed,Wolfgang Köhler Primate Research Center,no,NA,no,NA
26,499,"Bohn, Call, Tomasello",2016,The role of past interactions in great apes' communication about absent entities,Journal of Comparative Psychology,chimpanzee,18,12,0,mixed,Wolfgang Köhler Primate Research Center,no,NA,no,NA
27,121,"Bohn, Call, Tomasello",2016,Comprehension of iconic gestures by chimpanzees and human children,Journal of Experimental Child Psychology,chimpanzee,11,6,4,mixed,Wolfgang Köhler Primate Research Center,no,NA,no,NA
28,353,"Bohn, Call, Tomasello",2019,Natural reference: A phylo- and ontogenetic perspective on the comprehension of iconic gestures and vocalizations,Developmental Science,chimpanzee,4,3,2,mixed,Wolfgang Köhler Primate Research Center,yes,yes,no,NA
29,353,"Bohn, Call, Tomasello",2019,Natural reference: A phylo- and ontogenetic perspective on the comprehension of iconic gestures and vocalizations,Developmental Science,bonobo,5,4,0,mixed,Wolfgang Köhler Primate Research Center,yes,yes,no,NA
30,353,"Bohn, Call, Tomasello",2019,Natural reference: A phylo- and ontogenetic perspective on the comprehension of iconic gestures and vocalizations,Developmental Science,Sumatran orangutan,4,3,0,mixed,Wolfgang Köhler Primate Research Center,yes,yes,no,NA
31,215,"Micheletta, Whitehouse, Parr, Marshman, Engelhardt, Waller",2015,Familiar and unfamiliar face recognition in crested macaques (Macaca nigra),Royal Society Open Science,Celebes crested macaque,3,2,0,adult,Marwell Zoo,no,NA,no,NA
32,212,"Micheletta, Whitehouse, Parr, Waller",2015,Facial expression recognition in crested macaques (Macaca nigra).,Animal Cognition,Celebes crested macaque,3,2,0,adult,Marwell Zoo,no,NA,no,NA
33,325,"Waller, Whitehouse, Micheletta",2016,Macaques can predict social outcomes from facial expressions,Animal Cognition,Celebes crested macaque,3,2,2,adult,Marwell Zoo,no,NA,no,NA
34,54,"Caspar, Mader, Pallasdies, Lindenmeier, Begall",2018,Captive gibbons (Hylobatidae) use different referential cues in an object-choice task: insights into lesser ape cognition and manual laterality,PeerJ,Southern white-cheeked gibbon,1,1,0,mixed,Mulhouse Zoo,no,NA,yes,NA
35,54,"Caspar, Mader, Pallasdies, Lindenmeier, Begall",2018,Captive gibbons (Hylobatidae) use different referential cues in an object-choice task: insights into lesser ape cognition and manual laterality,PeerJ,Northern white-cheeked gibbon,2,1,1,mixed,Mulhouse Zoo,no,NA,yes,NA
36,54,"Caspar, Mader, Pallasdies, Lindenmeier, Begall",2018,Captive gibbons (Hylobatidae) use different referential cues in an object-choice task: insights into lesser ape cognition and manual laterality,PeerJ,Northern white-cheeked gibbon,2,1,1,mixed,Duisburg Zoo,no,NA,yes,NA
